rank	word	total_count	paper_count
372	certain	21	13
373	simple	21	13
374	start	21	13
375	develop	21	12
376	past	21	12
377	specific	21	12
378	five	21	11
379	increasingly	21	11
380	internet	21	11
381	decision	21	10
382	negative	21	10
383	playing	21	9
384	calories	21	7
385	weather	21	6
386	balance	21	5
387	numbers	21	4
388	classical	21	2
389	consider	20	17
390	yet	20	16
391	together	20	15
392	encourage	20	14
393	fact	20	14
394	finding	20	14
395	free	20	14
396	generally	20	14
397	importance	20	14
398	needs	20	14
399	similar	20	14
400	whole	20	14
401	across	20	13
402	suggest	20	12
403	weight	20	12
404	reported	20	11
405	task	20	11
406	york	20	11
407	effective	20	10
408	feelings	20	10
409	sports	20	10
410	state	20	10
411	effects	20	9
412	activities	20	8
413	dogs	20	5
414	changing	19	16
415	asked	19	14
416	bad	19	14
417	enable	19	14
418	four	19	13
419	got	19	13
420	major	19	13
421	members	19	13
422	small	19	13
423	view	19	13
424	groups	19	12
425	harm	19	12
426	took	19	12
427	point	19	11
428	seen	19	11
429	born	19	10
430	buy	19	10
431	climate	19	10
432	sometimes	19	10
433	true	19	10
434	value	19	10
435	driving	19	8
436	professor	19	8
437	sugar	19	7
438	traffic	19	6
439	aid	19	3
440	selves	19	3
441	villa	19	1
442	benefit	18	13
443	put	18	13
444	various	18	13
445	came	18	12
446	levels	18	12
447	share	18	12
448	sign	18	12
449	thought	18	12
450	causes	18	11
451	challenges	18	11
452	half	18	11
453	management	18	11
454	needed	18	11
455	strong	18	11
456	private	18	9
457	connections	18	8
458	consumption	18	8
459	summer	18	8
460	productivity	18	7
461	sleep	18	7
462	brains	18	6
463	tests	18	5
464	voice	18	5
465	funded	18	4
466	intelligence	18	4
467	retirement	18	4
468	instincts	18	3
469	plastic	18	3
470	carey	18	2
471	allow	17	15
472	amount	17	14
473	order	17	14
474	development	17	13
475	ensure	17	13
476	especially	17	13
477	including	17	13
478	key	17	13
479	several	17	13
480	community	17	12
481	considered	17	12
482	findings	17	12
483	government	17	12
484	usually	17	12
485	activity	17	11
486	behind	17	11
487	increased	17	11
488	looking	17	11
489	per	17	11
490	perfect	17	11
491	probably	17	11
492	risks	17	11
493	changes	17	9
494	diseases	17	9
495	economy	17	9
496	jobs	17	9
497	market	17	9
498	medicine	17	9
499	spent	17	9
500	top	17	9
501	writing	17	9
502	ourselves	17	8
503	managers	17	7
504	plant	17	7
505	blood	17	6
506	dreams	17	6
507	fashion	17	6
508	contact	17	5
509	boredom	17	4
510	curiosity	17	4
511	mindset	17	2
512	bottled	17	1
513	opera	17	1
514	build	16	14
515	anything	16	13
516	ever	16	13
517	interact	16	13
518	level	16	13
519	quite	16	13
520	compared	16	12
521	role	16	12
522	solve	16	12
523	determine	16	11
524	hours	16	11
525	stop	16	11
526	travel	16	11
527	within	16	11
528	account	16	10
529	associated	16	10
530	economic	16	10
531	everyone	16	10
532	history	16	10
533	left	16	10
534	mean	16	10
535	million	16	10
536	non	16	10
537	price	16	10
538	rate	16	10
539	resources	16	10
540	sure	16	10
541	week	16	10
542	workplace	16	10
543	aware	16	9
544	colleagues	16	9
545	habit	16	9
546	reasons	16	9
547	showed	16	9
548	succeed	16	9
549	action	16	8
550	income	16	8
551	issues	16	8
552	paper	16	8
553	rich	16	8
554	wanted	16	8
555	worth	16	8
556	yourself	16	8
557	consume	16	7
558	engineering	16	7
559	face	16	7
560	progress	16	7
561	website	16	6
562	drivers	16	5
563	game	16	5
564	bike	16	3
565	fans	16	3
566	multitasking	16	1
567	rum	16	1
568	deal	15	12
569	limited	15	12
570	reality	15	12
571	animal	15	11
572	available	15	11
573	group	15	11
574	move	15	11
575	already	15	10
576	answer	15	10
577	cannot	15	10
578	easily	15	10
579	expected	15	10
580	mostly	15	10
581	particular	15	10
582	relationship	15	10
583	seems	15	10
584	thus	15	10
585	complex	15	9
586	desire	15	9
587	helping	15	9
588	meaning	15	9
589	paying	15	9
590	reach	15	9
591	until	15	9
592	walking	15	9
593	humans	15	8
594	love	15	8
595	prices	15	8
596	side	15	8
597	strategies	15	8
598	toward	15	8
599	hour	15	7
600	rates	15	7
